Data
8.67E+01
3.79E+01
3.46E+01
3.27E+01
3.25E+01
3.26E+01
2.94E+01
3.31E+01
3.11E+01
3.18E+01
3.25E+01
2.98E+01
2.95E+01
2.86E+01
3.07E+01
2.74E+01
2.69E+01
2.97E+01
2.64E+01
2.69E+01
3.13E+01
2.98E+01
2.96E+01
2.94E+01
2.82E+01
2.80E+01
2.99E+01
3.01E+01
2.58E+01
2.71E+01
2.88E+01
3.15E+01
2.87E+01
2.91E+01
2.94E+01
2.79E+01
2.63E+01
2.65E+01
2.54E+01
2.75E+01
2.65E+01
