Data
8.69E+01
3.41E+01
3.49E+01
2.95E+01
3.24E+01
2.90E+01
3.34E+01
2.95E+01
2.86E+01
2.83E+01
2.71E+01
3.07E+01
3.37E+01
3.06E+01
3.24E+01
3.13E+01
2.99E+01
2.59E+01
2.95E+01
3.15E+01
3.04E+01
2.92E+01
2.86E+01
2.83E+01
2.85E+01
3.07E+01
2.88E+01
2.83E+01
2.94E+01
3.10E+01
2.97E+01
2.73E+01
3.15E+01
2.92E+01
3.12E+01
2.67E+01
2.94E+01
2.56E+01
3.06E+01
3.11E+01
2.90E+01
